transaction_id,transaction_date,Date_Brackets,transaction_time,Transaction time ,transaction_qty,store_location,product_id,unit_price,product_category,product_type,product_detail,Product Braket,Sales
1,1/1/2023,Jan,7:06:11 AM,Morning,2,Lower Manhattan,32,3.00,Coffee,Gourmet brewed coffee,Ethiopia Rg,Ethiopia,6.00
2,1/1/2023,Jan,7:08:56 AM,Morning,2,Lower Manhattan,57,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Spicy Eye Opener Chai,6.20
3,1/1/2023,Jan,7:14:04 AM,Morning,2,Lower Manhattan,59,4.50,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Dark chocolate,9.00
4,1/1/2023,Jan,7:20:24 AM,Morning,1,Lower Manhattan,22,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Our Old Time Diner Blend,2.00
5,1/1/2023,Jan,7:22:41 AM,Morning,2,Lower Manhattan,57,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Spicy Eye Opener Chai,6.20
6,1/1/2023,Jan,7:22:41 AM,Morning,1,Lower Manhattan,77,3.00,Bakery,Scone,Oatmeal Scone,Oatmeal Scone,3.00
7,1/1/2023,Jan,7:25:49 AM,Morning,1,Lower Manhattan,22,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Our Old Time Diner Blend,2.00
8,1/1/2023,Jan,7:33:34 AM,Morning,2,Lower Manhattan,28,2.00,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Columbian Medium Roast,4.00
9,1/1/2023,Jan,7:39:13 AM,Morning,1,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,Latte,4.25
10,1/1/2023,Jan,7:39:34 AM,Morning,2,Lower Manhattan,58,3.50,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Dark chocolate,7.00
11,1/1/2023,Jan,7:43:05 AM,Morning,1,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Spicy Eye Opener Chai,2.55
12,1/1/2023,Jan,7:44:35 AM,Morning,2,Lower Manhattan,33,3.50,Coffee,Gourmet brewed coffee,Ethiopia Lg,Ethiopia,7.00
13,1/1/2023,Jan,7:45:51 AM,Morning,1,Lower Manhattan,51,3.00,Tea,Brewed Black tea,Earl Grey Lg,Earl Grey,3.00
14,1/1/2023,Jan,7:48:19 AM,Morning,1,Lower Manhattan,57,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Spicy Eye Opener Chai,3.10
15,1/1/2023,Jan,7:52:36 AM,Morning,2,Lower Manhattan,87,3.00,Coffee,Barista Espresso,Ouro Brasileiro shot,Ouro Brasileiro shot,6.00
16,1/1/2023,Jan,7:59:58 AM,Morning,2,Lower Manhattan,47,3.00,Tea,Brewed Green tea,Serenity Green Tea Lg,Serenity Green Tea,6.00
17,1/1/2023,Jan,7:59:58 AM,Morning,1,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,Jumbo Savory Scone,3.75
18,1/1/2023,Jan,8:00:18 AM,Morning,1,Hell's Kitchen,42,2.50,Tea,Brewed herbal tea,Lemon Grass Rg,Lemon Grass,2.50
19,1/1/2023,Jan,8:00:39 AM,Morning,2,Hell's Kitchen,59,4.50,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Dark chocolate,9.00
20,1/1/2023,Jan,8:11:45 AM,Morning,1,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sustainably Grown Organic,4.75
21,1/1/2023,Jan,8:17:27 AM,Morning,2,Hell's Kitchen,33,3.50,Coffee,Gourmet brewed coffee,Ethiopia Lg,Ethiopia,7.00
22,1/1/2023,Jan,8:24:26 AM,Morning,2,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Spicy Eye Opener Chai,5.10
23,1/1/2023,Jan,8:24:26 AM,Morning,1,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,Hazelnut Biscotti,3.25
24,1/1/2023,Jan,8:29:38 AM,Morning,1,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Spicy Eye Opener Chai,2.55
25,1/1/2023,Jan,8:31:23 AM,Morning,1,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Cappuccino,3.75
26,1/1/2023,Jan,8:33:08 AM,Morning,1,Lower Manhattan,43,3.00,Tea,Brewed herbal tea,Lemon Grass Lg,Lemon Grass,3.00
27,1/1/2023,Jan,8:33:08 AM,Morning,1,Lower Manhattan,76,3.50,Bakery,Biscotti,Chocolate Chip Biscotti,Chocolate Chip Biscotti,3.50
28,1/1/2023,Jan,8:35:03 AM,Morning,2,Lower Manhattan,45,3.00,Tea,Brewed herbal tea,Peppermint Lg,Peppermint,6.00
29,1/1/2023,Jan,8:35:03 AM,Morning,1,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,Chocolate Croissant,3.75
30,1/1/2023,Jan,8:41:57 AM,Morning,2,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Cappuccino,7.50
31,1/1/2023,Jan,8:52:03 AM,Morning,1,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,Latte,3.75
32,1/1/2023,Jan,8:52:32 AM,Morning,1,Lower Manhattan,26,3.00,Coffee,Organic brewed coffee,Brazilian Rg,Brazilian,3.00
33,1/1/2023,Jan,8:54:33 AM,Morning,2,Lower Manhattan,27,3.50,Coffee,Organic brewed coffee,Brazilian Lg,Brazilian,7.00
34,1/1/2023,Jan,8:56:27 AM,Morning,2,Lower Manhattan,29,2.50,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Columbian Medium Roast,5.00
35,1/1/2023,Jan,8:57:46 AM,Morning,1,Hell's Kitchen,54,2.50,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Morning Sunrise Chai,2.50
36,1/1/2023,Jan,8:58:55 AM,Morning,1,Lower Manhattan,26,3.00,Coffee,Organic brewed coffee,Brazilian Rg,Brazilian,3.00
37,1/1/2023,Jan,9:00:12 AM,Morning,1,Lower Manhattan,55,4.00,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Morning Sunrise Chai,4.00
38,1/1/2023,Jan,9:00:24 AM,Morning,2,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Cappuccino,7.50
39,1/1/2023,Jan,9:07:13 AM,Morning,1,Hell's Kitchen,45,3.00,Tea,Brewed herbal tea,Peppermint Lg,Peppermint,3.00
40,1/1/2023,Jan,9:08:09 AM,Morning,2,Hell's Kitchen,45,3.00,Tea,Brewed herbal tea,Peppermint Lg,Peppermint,6.00
41,1/1/2023,Jan,9:08:13 AM,Morning,1,Hell's Kitchen,24,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Our Old Time Diner Blend,3.00
42,1/1/2023,Jan,9:10:30 AM,Morning,2,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sustainably Grown Organic,7.50
43,1/1/2023,Jan,9:10:30 AM,Morning,1,Lower Manhattan,78,4.50,Bakery,Scone,Scottish Cream Scone ,Scottish Cream Scone,4.50
44,1/1/2023,Jan,9:11:06 AM,Morning,1,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Spicy Eye Opener Chai,2.55
45,1/1/2023,Jan,9:11:06 AM,Morning,1,Lower Manhattan,77,3.00,Bakery,Scone,Oatmeal Scone,Oatmeal Scone,3.00
46,1/1/2023,Jan,9:13:01 AM,Morning,1,Lower Manhattan,44,2.50,Tea,Brewed herbal tea,Peppermint Rg,Peppermint,2.50
47,1/1/2023,Jan,9:13:15 AM,Morning,2,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Spicy Eye Opener Chai,5.10
48,1/1/2023,Jan,9:14:16 AM,Morning,1,Lower Manhattan,48,2.50,Tea,Brewed Black tea,English Breakfast Rg,English Breakfast,2.50
49,1/1/2023,Jan,9:14:17 AM,Morning,1,Hell's Kitchen,23,2.50,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Our Old Time Diner Blend,2.50
50,1/1/2023,Jan,9:14:25 AM,Morning,1,Hell's Kitchen,46,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg,Serenity Green Tea,2.50
51,1/1/2023,Jan,9:14:41 AM,Morning,1,Hell's Kitchen,32,3.00,Coffee,Gourmet brewed coffee,Ethiopia Rg,Ethiopia,3.00
52,1/1/2023,Jan,9:15:09 AM,Morning,2,Lower Manhattan,47,3.00,Tea,Brewed Green tea,Serenity Green Tea Lg,Serenity Green Tea,6.00
53,1/1/2023,Jan,9:15:13 AM,Morning,2,Lower Manhattan,43,3.00,Tea,Brewed herbal tea,Lemon Grass Lg,Lemon Grass,6.00
54,1/1/2023,Jan,9:19:21 AM,Morning,2,Lower Manhattan,25,2.20,Coffee,Organic brewed coffee,Brazilian Sm,Brazilian,4.40
55,1/1/2023,Jan,9:19:26 AM,Morning,1,Hell's Kitchen,59,4.50,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Dark chocolate,4.50
56,1/1/2023,Jan,9:21:08 AM,Morning,1,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,Latte,3.75
57,1/1/2023,Jan,9:22:17 AM,Morning,1,Hell's Kitchen,45,3.00,Tea,Brewed herbal tea,Peppermint Lg,Peppermint,3.00
58,1/1/2023,Jan,9:22:46 AM,Morning,1,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Jamaican Coffee River,2.45
59,1/1/2023,Jan,9:29:56 AM,Morning,2,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Jamaican Coffee River,7.50
60,1/1/2023,Jan,9:29:56 AM,Morning,1,Hell's Kitchen,74,3.50,Bakery,Biscotti,Ginger Biscotti,Ginger Biscotti,3.50
61,1/1/2023,Jan,9:29:57 AM,Morning,1,Hell's Kitchen,53,3.00,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Traditional Blend Chai,3.00
62,1/1/2023,Jan,9:34:17 AM,Morning,2,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Cappuccino,8.50
63,1/1/2023,Jan,9:40:13 AM,Morning,1,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Cappuccino,4.25
64,1/1/2023,Jan,9:41:22 AM,Morning,2,Lower Manhattan,45,3.00,Tea,Brewed herbal tea,Peppermint Lg,Peppermint,6.00
65,1/1/2023,Jan,9:41:22 AM,Morning,1,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,Jumbo Savory Scone,3.75
66,1/1/2023,Jan,9:44:20 AM,Morning,2,Lower Manhattan,54,2.50,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Morning Sunrise Chai,5.00
67,1/1/2023,Jan,9:44:46 AM,Morning,1,Lower Manhattan,24,3.00,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Our Old Time Diner Blend,3.00
68,1/1/2023,Jan,9:46:46 AM,Morning,2,Lower Manhattan,37,3.00,Coffee,Barista Espresso,Espresso shot,Espresso shot,6.00
69,1/1/2023,Jan,9:47:40 AM,Morning,2,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Cappuccino,7.50
70,1/1/2023,Jan,9:50:44 AM,Morning,2,Lower Manhattan,37,3.00,Coffee,Barista Espresso,Espresso shot,Espresso shot,6.00
71,1/1/2023,Jan,9:50:44 AM,Morning,1,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,Hazelnut Biscotti,3.25
72,1/1/2023,Jan,9:52:58 AM,Morning,1,Lower Manhattan,50,2.50,Tea,Brewed Black tea,Earl Grey Rg,Earl Grey,2.50
73,1/1/2023,Jan,9:53:28 AM,Morning,1,Hell's Kitchen,47,3.00,Tea,Brewed Green tea,Serenity Green Tea Lg,Serenity Green Tea,3.00
74,1/1/2023,Jan,9:53:44 AM,Morning,2,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Cappuccino,7.50
75,1/1/2023,Jan,9:53:44 AM,Morning,1,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,Ginger Scone,3.25
76,1/1/2023,Jan,9:53:49 AM,Morning,1,Hell's Kitchen,35,3.10,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Jamaican Coffee River,3.10
77,1/1/2023,Jan,9:54:46 AM,Morning,1,Lower Manhattan,23,2.50,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Our Old Time Diner Blend,2.50
78,1/1/2023,Jan,9:55:16 AM,Morning,2,Lower Manhattan,43,3.00,Tea,Brewed herbal tea,Lemon Grass Lg,Lemon Grass,6.00
79,1/1/2023,Jan,9:56:30 AM,Morning,1,Hell's Kitchen,22,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Our Old Time Diner Blend,2.00
80,1/1/2023,Jan,10:00:39 AM,Morning,2,Hell's Kitchen,32,3.00,Coffee,Gourmet brewed coffee,Ethiopia Rg,Ethiopia,6.00
81,1/1/2023,Jan,10:03:55 AM,Morning,2,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Jamaican Coffee River,7.50
82,1/1/2023,Jan,10:14:49 AM,Morning,1,Lower Manhattan,26,3.00,Coffee,Organic brewed coffee,Brazilian Rg,Brazilian,3.00
83,1/1/2023,Jan,10:14:49 AM,Morning,1,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,Chocolate Croissant,3.75
84,1/1/2023,Jan,10:16:30 AM,Morning,2,Lower Manhattan,32,3.00,Coffee,Gourmet brewed coffee,Ethiopia Rg,Ethiopia,6.00
85,1/1/2023,Jan,10:16:33 AM,Morning,1,Hell's Kitchen,54,2.50,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Morning Sunrise Chai,2.50
86,1/1/2023,Jan,10:18:14 AM,Morning,2,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Cappuccino,8.50
87,1/1/2023,Jan,10:18:52 AM,Morning,2,Lower Manhattan,25,2.20,Coffee,Organic brewed coffee,Brazilian Sm,Brazilian,4.40
88,1/1/2023,Jan,10:19:42 AM,Morning,2,Lower Manhattan,23,2.50,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Our Old Time Diner Blend,5.00
89,1/1/2023,Jan,10:24:19 AM,Morning,1,Hell's Kitchen,54,2.50,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Morning Sunrise Chai,2.50
90,1/1/2023,Jan,10:25:22 AM,Morning,2,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Spicy Eye Opener Chai,5.10
91,1/1/2023,Jan,10:25:45 AM,Morning,2,Lower Manhattan,58,3.50,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Dark chocolate,7.00
92,1/1/2023,Jan,10:25:45 AM,Morning,1,Lower Manhattan,74,3.50,Bakery,Biscotti,Ginger Biscotti,Ginger Biscotti,3.50
93,1/1/2023,Jan,10:27:48 AM,Morning,2,Hell's Kitchen,47,3.00,Tea,Brewed Green tea,Serenity Green Tea Lg,Serenity Green Tea,6.00
94,1/1/2023,Jan,10:30:07 AM,Morning,1,Lower Manhattan,35,3.10,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Jamaican Coffee River,3.10
95,1/1/2023,Jan,10:30:07 AM,Morning,1,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone,Cranberry Scone,3.25
96,1/1/2023,Jan,10:35:47 AM,Morning,1,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sustainably Grown Organic,3.75
97,1/1/2023,Jan,10:41:53 AM,Morning,1,Lower Manhattan,59,4.50,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Dark chocolate,4.50
98,1/1/2023,Jan,10:47:53 AM,Morning,2,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Jamaican Coffee River,7.50
99,1/1/2023,Jan,10:49:13 AM,Morning,2,Hell's Kitchen,51,3.00,Tea,Brewed Black tea,Earl Grey Lg,Earl Grey,6.00
100,1/1/2023,Jan,10:49:51 AM,Morning,2,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sustainably Grown Organic,9.50
101,1/1/2023,Jan,10:51:17 AM,Morning,1,Lower Manhattan,47,3.00,Tea,Brewed Green tea,Serenity Green Tea Lg,Serenity Green Tea,3.00
102,1/1/2023,Jan,10:52:44 AM,Morning,2,Hell's Kitchen,23,2.50,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Our Old Time Diner Blend,5.00
103,1/1/2023,Jan,10:52:44 AM,Morning,1,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant,Almond Croissant,3.75
104,1/1/2023,Jan,10:56:14 AM,Morning,1,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,Latte,3.75
105,1/1/2023,Jan,10:56:14 AM,Morning,1,Lower Manhattan,76,3.50,Bakery,Biscotti,Chocolate Chip Biscotti,Chocolate Chip Biscotti,3.50
106,1/1/2023,Jan,11:01:48 AM,Morning,1,Astoria,22,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Our Old Time Diner Blend,2.00
107,1/1/2023,Jan,11:01:58 AM,Morning,1,Astoria,38,3.75,Coffee,Barista Espresso,Latte,Latte,3.75
108,1/1/2023,Jan,11:01:58 AM,Morning,1,Astoria,75,3.50,Bakery,Pastry,Croissant,Croissant,3.50
109,1/1/2023,Jan,11:03:25 AM,Morning,2,Lower Manhattan,47,3.00,Tea,Brewed Green tea,Serenity Green Tea Lg,Serenity Green Tea,6.00
110,1/1/2023,Jan,11:03:25 AM,Morning,1,Lower Manhattan,75,3.50,Bakery,Pastry,Croissant,Croissant,3.50
111,1/1/2023,Jan,11:04:32 AM,Morning,2,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,Latte,8.50
112,1/1/2023,Jan,11:08:11 AM,Morning,1,Astoria,59,4.50,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Dark chocolate,4.50
113,1/1/2023,Jan,11:08:59 AM,Morning,2,Hell's Kitchen,51,3.00,Tea,Brewed Black tea,Earl Grey Lg,Earl Grey,6.00
114,1/1/2023,Jan,11:09:01 AM,Morning,1,Astoria,59,4.50,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Dark chocolate,4.50
115,1/1/2023,Jan,11:10:21 AM,Morning,1,Astoria,47,3.00,Tea,Brewed Green tea,Serenity Green Tea Lg,Serenity Green Tea,3.00
116,1/1/2023,Jan,11:10:21 AM,Morning,1,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,Jumbo Savory Scone,3.75
117,1/1/2023,Jan,11:10:58 AM,Morning,1,Astoria,46,2.50,Tea,Brewed Green tea,Serenity Green Tea Rg,Serenity Green Tea,2.50
118,1/1/2023,Jan,11:12:29 AM,Morning,1,Astoria,43,3.00,Tea,Brewed herbal tea,Lemon Grass Lg,Lemon Grass,3.00
119,1/1/2023,Jan,11:16:02 AM,Morning,2,Astoria,45,3.00,Tea,Brewed herbal tea,Peppermint Lg,Peppermint,6.00
120,1/1/2023,Jan,11:21:00 AM,Morning,2,Hell's Kitchen,54,2.50,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Morning Sunrise Chai,5.00
121,1/1/2023,Jan,11:21:04 AM,Morning,2,Lower Manhattan,51,3.00,Tea,Brewed Black tea,Earl Grey Lg,Earl Grey,6.00
122,1/1/2023,Jan,11:21:14 AM,Morning,1,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sustainably Grown Organic,3.75
123,1/1/2023,Jan,11:23:01 AM,Morning,1,Hell's Kitchen,31,2.20,Coffee,Gourmet brewed coffee,Ethiopia Sm,Ethiopia,2.20
124,1/1/2023,Jan,11:23:43 AM,Morning,2,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sustainably Grown Organic,7.50
125,1/1/2023,Jan,11:23:43 AM,Morning,1,Lower Manhattan,77,3.00,Bakery,Scone,Oatmeal Scone,Oatmeal Scone,3.00
